"ITTER107","Territory","TIPO_DATO_AVQ","Data type","MISURA_AVQ","Measure","TIME","Select time","Value","Flag Codes","Flags"
"ITE","Centro (I)","0_CHRONIC_ARTH","chronic patients - suffering from osteoarthritis, arthritis","THV","thousands value","2018","2018",1981,,
"ITD3","Veneto","0_CHRONIC_BRONC","chronic patients - suffering from chronic bronchitis","HSC","per 100 people with the same characteristics","2018","2018",6,,
"ITC3","Liguria","0_ALEAST_2CRON","persons  at least two chronic disease","THV","thousands value","2018","2018",382,,
"ITFG","Mezzogiorno","0_CHRONIC_HYP","chronic patients - with hypertension","THV","thousands value","2018","2018",3915,,
"ITG1","Sicilia","0_CHRONIC_NERVOUS","chronic patients - suffering from nervous disorders","THV","thousands value","2018","2018",299,,
"2","metropolitan area - centre","0_CHRONIC_BRONC","chronic patients - suffering from chronic bronchitis","HSC","per 100 people with the same characteristics","2018","2018",5.7,,
"ITD","Nord-est","0_CHRONIC_ARTH","chronic patients - suffering from osteoarthritis, arthritis","HSC","per 100 people with the same characteristics","2018","2018",15.3,,
"ITC","Nord-ovest","0_GOOD_H","persons  in good health","THV","thousands value","2018","2018",11005,,
"ITD1","Provincia Autonoma Bolzano / Bozen","0_CHRONIC_GH","persons  with chronic diseases in good health","THV","thousands value","2018","2018",115,,
"ITC1","Piemonte","0_CHRONIC_HEART","chronic patients - suffering from heart disease","HSC","per 100 people with the same characteristics","2018","2018",4,,
"ITD4","Friuli-Venezia Giulia","0_ALEAST_1CRON","persons  at least a chronic disease","THV","thousands value","2018","2018",495,,
"ITD3","Veneto","0_CHRONIC_NERVOUS","chronic patients - suffering from nervous disorders","THV","thousands value","2018","2018",178,,
"ITDA","Trentino Alto Adige / Südtirol","0_CHRONIC_GASTR","chronic patients - suffering from gastric or duodenal ulcer","HSC","per 100 people with the same characteristics","2018","2018",1.9,,
"ITG2","Sardegna","0_CHRONIC_BRONC","chronic patients - suffering from chronic bronchitis","HSC","per 100 people with the same characteristics","2018","2018",6.8,,
"ITDA","Trentino Alto Adige / Südtirol","0_CHRONIC_ALLER","chronic patients - suffering from allergic diseases","THV","thousands value","2018","2018",118,,
"ITG1","Sicilia","0_CHRONIC_BRONC","chronic patients - suffering from chronic bronchitis","HSC","per 100 people with the same characteristics","2018","2018",5.2,,
"ITFG","Mezzogiorno","0_ALEAST_1CRON","persons  at least a chronic disease","HSC","per 100 people with the same characteristics","2018","2018",39.1,,
"8","10,001 - 50,000 inhab.","0_ALEAST_1CRON","persons  at least a chronic disease","THV","thousands value","2018","2018",6224,,
"ITD5","Emilia-Romagna","0_CHRONIC_ALLER","chronic patients - suffering from allergic diseases","HSC","per 100 people with the same characteristics","2018","2018",11.1,,
"ITC3","Liguria","0_CHRONIC_NERVOUS","chronic patients - suffering from nervous disorders","HSC","per 100 people with the same characteristics","2018","2018",5.3,,
"ITE4","Lazio","0_CHRONIC_ARTH","chronic patients - suffering from osteoarthritis, arthritis","THV","thousands value","2018","2018",984,,
"ITD5","Emilia-Romagna","0_CHRONIC_OSTEO","chronic patients - with osteoporosis","THV","thousands value","2018","2018",303,,
"ITF6","Calabria","0_CHRONIC_OSTEO","chronic patients - with osteoporosis","THV","thousands value","2018","2018",206,,
"6","until 2,000 inhab.","0_CHRONIC_ARTH","chronic patients - suffering from osteoarthritis, arthritis","HSC","per 100 people with the same characteristics","2018","2018",19.3,,
"ITE4","Lazio","0_CHRONIC_HEART","chronic patients - suffering from heart disease","HSC","per 100 people with the same characteristics","2018","2018",3.4,,
"ITG1","Sicilia","0_ALEAST_2CRON","persons  at least two chronic disease","THV","thousands value","2018","2018",1126,,
"ITCD","Nord","0_CHRONIC_NERVOUS","chronic patients - suffering from nervous disorders","THV","thousands value","2018","2018",1186,,
"ITF4","Puglia","0_CHRONIC_GH","persons  with chronic diseases in good health","THV","thousands value","2018","2018",636,,
"6","until 2,000 inhab.","0_CHRONIC_ALLER","chronic patients - suffering from allergic diseases","HSC","per 100 people with the same characteristics","2018","2018",11.2,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","0_GOOD_H","persons  in good health","HSC","per 100 people with the same characteristics","2018","2018",72.6,,
"ITD1","Provincia Autonoma Bolzano / Bozen","0_CHRONIC_OSTEO","chronic patients - with osteoporosis","THV","thousands value","2018","2018",20,,
"ITDA","Trentino Alto Adige / Südtirol","0_CHRONIC_GASTR","chronic patients - suffering from gastric or duodenal ulcer","THV","thousands value","2018","2018",20,,
"ITF3","Campania","0_CHRONIC_HYP","chronic patients - with hypertension","HSC","per 100 people with the same characteristics","2018","2018",19.3,,
"ITC","Nord-ovest","0_CHRONIC_ARTH","chronic patients - suffering from osteoarthritis, arthritis","THV","thousands value","2018","2018",2558,,
"ITE1","Toscana","0_CHRONIC_OSTEO","chronic patients - with osteoporosis","HSC","per 100 people with the same characteristics","2018","2018",7.4,,
"ITCD","Nord","0_CHRONIC_GH","persons  with chronic diseases in good health","THV","thousands value","2018","2018",5264,,
"ITDA","Trentino Alto Adige / Südtirol","0_CHRONIC_ARTH","chronic patients - suffering from osteoarthritis, arthritis","THV","thousands value","2018","2018",117,,
"ITD5","Emilia-Romagna","0_CHRONIC_OSTEO","chronic patients - with osteoporosis","HSC","per 100 people with the same characteristics","2018","2018",6.8,,
"ITE1","Toscana","0_CHRONIC_DIAB","chronic patients - suffering from diabetes","THV","thousands value","2018","2018",189,,
"ITD2","Provincia Autonoma Trento","0_CHRONIC_DIAB","chronic patients - suffering from diabetes","THV","thousands value","2018","2018",23,,
"ITF","Sud","0_CHRONIC_GH","persons  with chronic diseases in good health","HSC","per 100 people with the same characteristics","2018","2018",37.5,,
"ITF6","Calabria","0_CHRONIC_OSTEO","chronic patients - with osteoporosis","HSC","per 100 people with the same characteristics","2018","2018",10.6,,
"ITG","Isole","0_CHRONIC_BRONC","chronic patients - suffering from chronic bronchitis","THV","thousands value","2018","2018",374,,
"2","metropolitan area - centre","0_CHRONIC_HEART","chronic patients - suffering from heart disease","THV","thousands value","2018","2018",347,,
"ITE1","Toscana","0_GOOD_H","persons  in good health","HSC","per 100 people with the same characteristics","2018","2018",71,,
"ITG","Isole","0_ALEAST_2CRON","persons  at least two chronic disease","HSC","per 100 people with the same characteristics","2018","2018",23.4,,
"3","metropolitan area - suburbs","0_ALEAST_2CRON","persons  at least two chronic disease","HSC","per 100 people with the same characteristics","2018","2018",21,,
"ITF5","Basilicata","0_CHRONIC_ARTH","chronic patients - suffering from osteoarthritis, arthritis","HSC","per 100 people with the same characteristics","2018","2018",19.8,,
"ITF2","Molise","0_GOOD_H","persons  in good health","HSC","per 100 people with the same characteristics","2018","2018",66.3,,
"ITFG","Mezzogiorno","0_CHRONIC_ARTH","chronic patients - suffering from osteoarthritis, arthritis","THV","thousands value","2018","2018",3583,,
"ITC1","Piemonte","0_GOOD_H","persons  in good health","HSC","per 100 people with the same characteristics","2018","2018",68.5,,
"ITF","Sud","0_CHRONIC_GH","persons  with chronic diseases in good health","THV","thousands value","2018","2018",2058,,
"ITD2","Provincia Autonoma Trento","0_CHRONIC_ARTH","chronic patients - suffering from osteoarthritis, arthritis","THV","thousands value","2018","2018",65,,
"ITE3","Marche","0_ALEAST_2CRON","persons  at least two chronic disease","HSC","per 100 people with the same characteristics","2018","2018",19.4,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","0_CHRONIC_DIAB","chronic patients - suffering from diabetes","THV","thousands value","2018","2018",3,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","0_CHRONIC_BRONC","chronic patients - suffering from chronic bronchitis","HSC","per 100 people with the same characteristics","2018","2018",5.5,,
"ITE3","Marche","0_GOOD_H","persons  in good health","THV","thousands value","2018","2018",1059,,
"ITF3","Campania","0_CHRONIC_GASTR","chronic patients - suffering from gastric or duodenal ulcer","HSC","per 100 people with the same characteristics","2018","2018",1.9,,
"ITCD","Nord","0_CHRONIC_NERVOUS","chronic patients - suffering from nervous disorders","HSC","per 100 people with the same characteristics","2018","2018",4.3,,
"ITF3","Campania","0_CHRONIC_ALLER","chronic patients - suffering from allergic diseases","THV","thousands value","2018","2018",662,,
"ITG2","Sardegna","0_GOOD_H","persons  in good health","HSC","per 100 people with the same characteristics","2018","2018",66.4,,
"ITFG","Mezzogiorno","0_CHRONIC_ALLER","chronic patients - suffering from allergic diseases","THV","thousands value","2018","2018",2344,,
"ITD","Nord-est","0_CHRONIC_GASTR","chronic patients - suffering from gastric or duodenal ulcer","HSC","per 100 people with the same characteristics","2018","2018",2.7,,
"ITE2","Umbria","0_CHRONIC_GH","persons  with chronic diseases in good health","HSC","per 100 people with the same characteristics","2018","2018",43.7,,
"ITF3","Campania","0_CHRONIC_HEART","chronic patients - suffering from heart disease","THV","thousands value","2018","2018",206,,
"ITG2","Sardegna","0_CHRONIC_GH","persons  with chronic diseases in good health","THV","thousands value","2018","2018",298,,
"ITE3","Marche","0_ALEAST_2CRON","persons  at least two chronic disease","THV","thousands value","2018","2018",295,,
"ITF5","Basilicata","0_CHRONIC_GASTR","chronic patients - suffering from gastric or duodenal ulcer","THV","thousands value","2018","2018",23,,
"ITE","Centro (I)","0_CHRONIC_DIAB","chronic patients - suffering from diabetes","HSC","per 100 people with the same characteristics","2018","2018",5.5,,
"ITG","Isole","0_CHRONIC_OSTEO","chronic patients - with osteoporosis","HSC","per 100 people with the same characteristics","2018","2018",9.9,,
"ITG2","Sardegna","0_ALEAST_2CRON","persons  at least two chronic disease","THV","thousands value","2018","2018",432,,
"ITFG","Mezzogiorno","0_CHRONIC_ARTH","chronic patients - suffering from osteoarthritis, arthritis","HSC","per 100 people with the same characteristics","2018","2018",17.4,,
"ITC","Nord-ovest","0_CHRONIC_DIAB","chronic patients - suffering from diabetes","HSC","per 100 people with the same characteristics","2018","2018",4.7,,
"ITE1","Toscana","0_CHRONIC_BRONC","chronic patients - suffering from chronic bronchitis","HSC","per 100 people with the same characteristics","2018","2018",5.4,,
"6","until 2,000 inhab.","0_CHRONIC_GASTR","chronic patients - suffering from gastric or duodenal ulcer","THV","thousands value","2018","2018",95,,
"ITG1","Sicilia","0_ALEAST_2CRON","persons  at least two chronic disease","HSC","per 100 people with the same characteristics","2018","2018",22.5,,
"ITF2","Molise","0_CHRONIC_DIAB","chronic patients - suffering from diabetes","THV","thousands value","2018","2018",21,,
"ITC1","Piemonte","0_CHRONIC_DIAB","chronic patients - suffering from diabetes","THV","thousands value","2018","2018",202,,
"ITD1","Provincia Autonoma Bolzano / Bozen","0_CHRONIC_HYP","chronic patients - with hypertension","HSC","per 100 people with the same characteristics","2018","2018",12.8,,
"ITG1","Sicilia","0_ALEAST_1CRON","persons  at least a chronic disease","THV","thousands value","2018","2018",1868,,
"ITFG","Mezzogiorno","0_CHRONIC_BRONC","chronic patients - suffering from chronic bronchitis","THV","thousands value","2018","2018",1206,,
"ITF","Sud","0_CHRONIC_DIAB","chronic patients - suffering from diabetes","HSC","per 100 people with the same characteristics","2018","2018",7,,
"ITC3","Liguria","0_CHRONIC_OSTEO","chronic patients - with osteoporosis","THV","thousands value","2018","2018",176,,
"ITF1","Abruzzo","0_CHRONIC_GH","persons  with chronic diseases in good health","HSC","per 100 people with the same characteristics","2018","2018",38.8,,
"ITC4","Lombardia","0_CHRONIC_GH","persons  with chronic diseases in good health","THV","thousands value","2018","2018",1995,,
"ITF5","Basilicata","0_CHRONIC_HEART","chronic patients - suffering from heart disease","HSC","per 100 people with the same characteristics","2018","2018",4.1,,
"ITE3","Marche","0_CHRONIC_NERVOUS","chronic patients - suffering from nervous disorders","THV","thousands value","2018","2018",58,,
"3","metropolitan area - suburbs","0_CHRONIC_BRONC","chronic patients - suffering from chronic bronchitis","HSC","per 100 people with the same characteristics","2018","2018",6.5,,
"6","until 2,000 inhab.","0_ALEAST_1CRON","persons  at least a chronic disease","HSC","per 100 people with the same characteristics","2018","2018",44.1,,
"ITE4","Lazio","0_CHRONIC_GH","persons  with chronic diseases in good health","THV","thousands value","2018","2018",1054,,
"ITG2","Sardegna","0_CHRONIC_DIAB","chronic patients - suffering from diabetes","THV","thousands value","2018","2018",77,,
"ITF4","Puglia","0_CHRONIC_GH","persons  with chronic diseases in good health","HSC","per 100 people with the same characteristics","2018","2018",39.1,,
"ITC1","Piemonte","0_CHRONIC_ARTH","chronic patients - suffering from osteoarthritis, arthritis","THV","thousands value","2018","2018",719,,
"ITE2","Umbria","0_CHRONIC_OSTEO","chronic patients - with osteoporosis","THV","thousands value","2018","2018",82,,
"ITF2","Molise","0_CHRONIC_ARTH","chronic patients - suffering from osteoarthritis, arthritis","THV","thousands value","2018","2018",55,,
"ITF2","Molise","0_CHRONIC_HEART","chronic patients - suffering from heart disease","HSC","per 100 people with the same characteristics","2018","2018",4.8,,
"ITC","Nord-ovest","0_CHRONIC_ARTH","chronic patients - suffering from osteoarthritis, arthritis","HSC","per 100 people with the same characteristics","2018","2018",16,,
"ITD1","Provincia Autonoma Bolzano / Bozen","0_CHRONIC_OSTEO","chronic patients - with osteoporosis","HSC","per 100 people with the same characteristics","2018","2018",3.9,,
"ITE2","Umbria","0_CHRONIC_DIAB","chronic patients - suffering from diabetes","HSC","per 100 people with the same characteristics","2018","2018",6.4,,
"ITD2","Provincia Autonoma Trento","0_CHRONIC_HEART","chronic patients - suffering from heart disease","HSC","per 100 people with the same characteristics","2018","2018",4.5,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","0_CHRONIC_GH","persons  with chronic diseases in good health","THV","thousands value","2018","2018",23,,
"ITF","Sud","0_CHRONIC_OSTEO","chronic patients - with osteoporosis","HSC","per 100 people with the same characteristics","2018","2018",9.1,,
"ITFG","Mezzogiorno","0_CHRONIC_GASTR","chronic patients - suffering from gastric or duodenal ulcer","HSC","per 100 people with the same characteristics","2018","2018",2.5,,
"ITC1","Piemonte","0_CHRONIC_BRONC","chronic patients - suffering from chronic bronchitis","THV","thousands value","2018","2018",269,,
"ITE1","Toscana","0_CHRONIC_NERVOUS","chronic patients - suffering from nervous disorders","HSC","per 100 people with the same characteristics","2018","2018",4.5,,
"ITF2","Molise","0_CHRONIC_BRONC","chronic patients - suffering from chronic bronchitis","THV","thousands value","2018","2018",19,,
"ITF1","Abruzzo","0_CHRONIC_ARTH","chronic patients - suffering from osteoarthritis, arthritis","HSC","per 100 people with the same characteristics","2018","2018",17.9,,
"ITD3","Veneto","0_ALEAST_2CRON","persons  at least two chronic disease","THV","thousands value","2018","2018",940,,
"ITD","Nord-est","0_CHRONIC_ARTH","chronic patients - suffering from osteoarthritis, arthritis","THV","thousands value","2018","2018",1766,,
"ITD1","Provincia Autonoma Bolzano / Bozen","0_CHRONIC_ALLER","chronic patients - suffering from allergic diseases","HSC","per 100 people with the same characteristics","2018","2018",10.3,,
"ITC","Nord-ovest","0_CHRONIC_BRONC","chronic patients - suffering from chronic bronchitis","HSC","per 100 people with the same characteristics","2018","2018",6.6,,
"ITE2","Umbria","0_CHRONIC_DIAB","chronic patients - suffering from diabetes","THV","thousands value","2018","2018",56,,
"ITE1","Toscana","0_CHRONIC_HEART","chronic patients - suffering from heart disease","THV","thousands value","2018","2018",131,,
"ITG","Isole","0_CHRONIC_NERVOUS","chronic patients - suffering from nervous disorders","THV","thousands value","2018","2018",384,,
"ITG2","Sardegna","0_CHRONIC_DIAB","chronic patients - suffering from diabetes","HSC","per 100 people with the same characteristics","2018","2018",4.7,,
"ITF1","Abruzzo","0_CHRONIC_BRONC","chronic patients - suffering from chronic bronchitis","HSC","per 100 people with the same characteristics","2018","2018",6.7,,
"ITDA","Trentino Alto Adige / Südtirol","0_ALEAST_2CRON","persons  at least two chronic disease","HSC","per 100 people with the same characteristics","2018","2018",14.5,,
"ITF2","Molise","0_CHRONIC_ARTH","chronic patients - suffering from osteoarthritis, arthritis","HSC","per 100 people with the same characteristics","2018","2018",17.9,,
"ITD","Nord-est","0_CHRONIC_OSTEO","chronic patients - with osteoporosis","HSC","per 100 people with the same characteristics","2018","2018",6,,
"ITC1","Piemonte","0_CHRONIC_ARTH","chronic patients - suffering from osteoarthritis, arthritis","HSC","per 100 people with the same characteristics","2018","2018",16.6,,
"ITD2","Provincia Autonoma Trento","0_CHRONIC_OSTEO","chronic patients - with osteoporosis","THV","thousands value","2018","2018",29,,
"ITE1","Toscana","0_CHRONIC_ALLER","chronic patients - suffering from allergic diseases","HSC","per 100 people with the same characteristics","2018","2018",11.4,,
"ITC1","Piemonte","0_CHRONIC_HYP","chronic patients - with hypertension","THV","thousands value","2018","2018",833,,
"ITE3","Marche","0_CHRONIC_ARTH","chronic patients - suffering from osteoarthritis, arthritis","THV","thousands value","2018","2018",237,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","0_CHRONIC_NERVOUS","chronic patients - suffering from nervous disorders","HSC","per 100 people with the same characteristics","2018","2018",4.9,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","0_CHRONIC_HEART","chronic patients - suffering from heart disease","THV","thousands value","2018","2018",5,,
"ITC4","Lombardia","0_CHRONIC_ARTH","chronic patients - suffering from osteoarthritis, arthritis","HSC","per 100 people with the same characteristics","2018","2018",15.3,,
"ITE4","Lazio","0_ALEAST_2CRON","persons  at least two chronic disease","HSC","per 100 people with the same characteristics","2018","2018",21.2,,
"ITF6","Calabria","0_ALEAST_1CRON","persons  at least a chronic disease","THV","thousands value","2018","2018",770,,
"ITE3","Marche","0_CHRONIC_HEART","chronic patients - suffering from heart disease","HSC","per 100 people with the same characteristics","2018","2018",3.7,,
"ITE2","Umbria","0_CHRONIC_ALLER","chronic patients - suffering from allergic diseases","THV","thousands value","2018","2018",114,,
"ITD3","Veneto","0_CHRONIC_HEART","chronic patients - suffering from heart disease","HSC","per 100 people with the same characteristics","2018","2018",4.3,,
"ITC3","Liguria","0_CHRONIC_ALLER","chronic patients - suffering from allergic diseases","THV","thousands value","2018","2018",183,,
"ITD4","Friuli-Venezia Giulia","0_CHRONIC_ALLER","chronic patients - suffering from allergic diseases","HSC","per 100 people with the same characteristics","2018","2018",9.9,,
"ITF5","Basilicata","0_ALEAST_1CRON","persons  at least a chronic disease","HSC","per 100 people with the same characteristics","2018","2018",44.4,,
"ITE","Centro (I)","0_CHRONIC_NERVOUS","chronic patients - suffering from nervous disorders","THV","thousands value","2018","2018",546,,
"ITC1","Piemonte","0_CHRONIC_BRONC","chronic patients - suffering from chronic bronchitis","HSC","per 100 people with the same characteristics","2018","2018",6.2,,
"ITF1","Abruzzo","0_CHRONIC_GASTR","chronic patients - suffering from gastric or duodenal ulcer","THV","thousands value","2018","2018",41,,
"ITE4","Lazio","0_ALEAST_1CRON","persons  at least a chronic disease","THV","thousands value","2018","2018",2405,,
"ITC","Nord-ovest","0_CHRONIC_NERVOUS","chronic patients - suffering from nervous disorders","THV","thousands value","2018","2018",754,,
"ITD3","Veneto","0_CHRONIC_OSTEO","chronic patients - with osteoporosis","THV","thousands value","2018","2018",282,,
"ITF3","Campania","0_CHRONIC_HEART","chronic patients - suffering from heart disease","HSC","per 100 people with the same characteristics","2018","2018",3.5,,
"ITF4","Puglia","0_CHRONIC_GASTR","chronic patients - suffering from gastric or duodenal ulcer","HSC","per 100 people with the same characteristics","2018","2018",1.7,,
"ITD4","Friuli-Venezia Giulia","0_CHRONIC_GASTR","chronic patients - suffering from gastric or duodenal ulcer","THV","thousands value","2018","2018",26,,
"ITD5","Emilia-Romagna","0_CHRONIC_BRONC","chronic patients - suffering from chronic bronchitis","HSC","per 100 people with the same characteristics","2018","2018",5.8,,
"ITF4","Puglia","0_CHRONIC_ALLER","chronic patients - suffering from allergic diseases","THV","thousands value","2018","2018",476,,
"ITF6","Calabria","0_CHRONIC_BRONC","chronic patients - suffering from chronic bronchitis","HSC","per 100 people with the same characteristics","2018","2018",6.4,,
"ITF5","Basilicata","0_CHRONIC_DIAB","chronic patients - suffering from diabetes","THV","thousands value","2018","2018",40,,
"ITD5","Emilia-Romagna","0_CHRONIC_DIAB","chronic patients - suffering from diabetes","THV","thousands value","2018","2018",233,,
"ITF6","Calabria","0_CHRONIC_DIAB","chronic patients - suffering from diabetes","THV","thousands value","2018","2018",160,,
"8","10,001 - 50,000 inhab.","0_GOOD_H","persons  in good health","THV","thousands value","2018","2018",10899,,
"ITCD","Nord","0_CHRONIC_ALLER","chronic patients - suffering from allergic diseases","HSC","per 100 people with the same characteristics","2018","2018",11.7,,
"ITCD","Nord","0_CHRONIC_OSTEO","chronic patients - with osteoporosis","THV","thousands value","2018","2018",1975,,
"ITF4","Puglia","0_ALEAST_1CRON","persons  at least a chronic disease","THV","thousands value","2018","2018",1630,,
"ITC1","Piemonte","0_CHRONIC_NERVOUS","chronic patients - suffering from nervous disorders","HSC","per 100 people with the same characteristics","2018","2018",5.1,,
"ITG2","Sardegna","0_CHRONIC_OSTEO","chronic patients - with osteoporosis","HSC","per 100 people with the same characteristics","2018","2018",12.4,,
"ITDA","Trentino Alto Adige / Südtirol","0_CHRONIC_HEART","chronic patients - suffering from heart disease","THV","thousands value","2018","2018",36,,
"ITD1","Provincia Autonoma Bolzano / Bozen","0_CHRONIC_HYP","chronic patients - with hypertension","THV","thousands value","2018","2018",67,,
"7","2,001 - 10,000 inhab.","0_CHRONIC_HYP","chronic patients - with hypertension","HSC","per 100 people with the same characteristics","2018","2018",17.6,,
"ITG","Isole","0_CHRONIC_GASTR","chronic patients - suffering from gastric or duodenal ulcer","HSC","per 100 people with the same characteristics","2018","2018",2.7,,
"ITE","Centro (I)","0_CHRONIC_HYP","chronic patients - with hypertension","HSC","per 100 people with the same characteristics","2018","2018",17.6,,
"ITG1","Sicilia","0_CHRONIC_GASTR","chronic patients - suffering from gastric or duodenal ulcer","THV","thousands value","2018","2018",143,,
"ITF2","Molise","0_CHRONIC_HYP","chronic patients - with hypertension","THV","thousands value","2018","2018",63,,
"ITCD","Nord","0_CHRONIC_HEART","chronic patients - suffering from heart disease","HSC","per 100 people with the same characteristics","2018","2018",4.2,,
"ITC","Nord-ovest","0_CHRONIC_HYP","chronic patients - with hypertension","HSC","per 100 people with the same characteristics","2018","2018",18.2,,
"ITD1","Provincia Autonoma Bolzano / Bozen","0_CHRONIC_DIAB","chronic patients - suffering from diabetes","THV","thousands value","2018","2018",14,,
"ITC","Nord-ovest","0_CHRONIC_GH","persons  with chronic diseases in good health","THV","thousands value","2018","2018",3070,,
"ITDA","Trentino Alto Adige / Südtirol","0_CHRONIC_OSTEO","chronic patients - with osteoporosis","THV","thousands value","2018","2018",50,,
"ITD1","Provincia Autonoma Bolzano / Bozen","0_CHRONIC_BRONC","chronic patients - suffering from chronic bronchitis","HSC","per 100 people with the same characteristics","2018","2018",2.8,,
"ITCD","Nord","0_CHRONIC_ARTH","chronic patients - suffering from osteoarthritis, arthritis","THV","thousands value","2018","2018",4324,,
"ITF4","Puglia","0_CHRONIC_ARTH","chronic patients - suffering from osteoarthritis, arthritis","THV","thousands value","2018","2018",686,,
"ITF2","Molise","0_CHRONIC_BRONC","chronic patients - suffering from chronic bronchitis","HSC","per 100 people with the same characteristics","2018","2018",6.3,,
"ITD3","Veneto","0_CHRONIC_ALLER","chronic patients - suffering from allergic diseases","HSC","per 100 people with the same characteristics","2018","2018",12.2,,
"ITDA","Trentino Alto Adige / Südtirol","0_CHRONIC_HEART","chronic patients - suffering from heart disease","HSC","per 100 people with the same characteristics","2018","2018",3.4,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","0_ALEAST_2CRON","persons  at least two chronic disease","THV","thousands value","2018","2018",26,,
"ITC3","Liguria","0_GOOD_H","persons  in good health","THV","thousands value","2018","2018",1016,,
"ITC","Nord-ovest","0_CHRONIC_DIAB","chronic patients - suffering from diabetes","THV","thousands value","2018","2018",754,,
"ITD","Nord-est","0_CHRONIC_HEART","chronic patients - suffering from heart disease","HSC","per 100 people with the same characteristics","2018","2018",4.3,,
"ITF2","Molise","0_CHRONIC_NERVOUS","chronic patients - suffering from nervous disorders","HSC","per 100 people with the same characteristics","2018","2018",5.8,,
"ITD2","Provincia Autonoma Trento","0_CHRONIC_HEART","chronic patients - suffering from heart disease","THV","thousands value","2018","2018",24,,
"ITD3","Veneto","0_CHRONIC_GH","persons  with chronic diseases in good health","HSC","per 100 people with the same characteristics","2018","2018",45.8,,
"ITC3","Liguria","0_CHRONIC_ALLER","chronic patients - suffering from allergic diseases","HSC","per 100 people with the same characteristics","2018","2018",11.8,,
"ITD4","Friuli-Venezia Giulia","0_CHRONIC_HYP","chronic patients - with hypertension","HSC","per 100 people with the same characteristics","2018","2018",17.5,,
"ITE","Centro (I)","0_ALEAST_1CRON","persons  at least a chronic disease","THV","thousands value","2018","2018",4944,,
"ITFG","Mezzogiorno","0_CHRONIC_HYP","chronic patients - with hypertension","HSC","per 100 people with the same characteristics","2018","2018",19,,
"ITF","Sud","0_GOOD_H","persons  in good health","THV","thousands value","2018","2018",9481,,
"ITC4","Lombardia","0_CHRONIC_HYP","chronic patients - with hypertension","HSC","per 100 people with the same characteristics","2018","2018",17.4,,
"ITE4","Lazio","0_CHRONIC_HYP","chronic patients - with hypertension","HSC","per 100 people with the same characteristics","2018","2018",17.8,,
"ITFG","Mezzogiorno","0_CHRONIC_GH","persons  with chronic diseases in good health","THV","thousands value","2018","2018",2951,,
"ITF","Sud","0_ALEAST_2CRON","persons  at least two chronic disease","HSC","per 100 people with the same characteristics","2018","2018",22.2,,
"ITD4","Friuli-Venezia Giulia","0_CHRONIC_DIAB","chronic patients - suffering from diabetes","THV","thousands value","2018","2018",64,,
"ITCD","Nord","0_CHRONIC_GASTR","chronic patients - suffering from gastric or duodenal ulcer","HSC","per 100 people with the same characteristics","2018","2018",2.6,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","0_CHRONIC_HYP","chronic patients - with hypertension","THV","thousands value","2018","2018",20,,
"ITC3","Liguria","0_CHRONIC_HEART","chronic patients - suffering from heart disease","THV","thousands value","2018","2018",63,,
"ITC4","Lombardia","0_CHRONIC_DIAB","chronic patients - suffering from diabetes","THV","thousands value","2018","2018",463,,
"ITE3","Marche","0_ALEAST_1CRON","persons  at least a chronic disease","THV","thousands value","2018","2018",597,,
"ITDA","Trentino Alto Adige / Südtirol","0_CHRONIC_ALLER","chronic patients - suffering from allergic diseases","HSC","per 100 people with the same characteristics","2018","2018",11.2,,
"2","metropolitan area - centre","0_CHRONIC_ALLER","chronic patients - suffering from allergic diseases","HSC","per 100 people with the same characteristics","2018","2018",12.1,,
"ITE","Centro (I)","0_CHRONIC_GH","persons  with chronic diseases in good health","THV","thousands value","2018","2018",2245,,
"ITF4","Puglia","0_GOOD_H","persons  in good health","THV","thousands value","2018","2018",2765,,
"ITG","Isole","0_CHRONIC_ARTH","chronic patients - suffering from osteoarthritis, arthritis","THV","thousands value","2018","2018",1219,,
"ITFG","Mezzogiorno","0_CHRONIC_OSTEO","chronic patients - with osteoporosis","HSC","per 100 people with the same characteristics","2018","2018",9.4,,
"ITE1","Toscana","0_CHRONIC_HYP","chronic patients - with hypertension","THV","thousands value","2018","2018",641,,
"ITG2","Sardegna","0_ALEAST_2CRON","persons  at least two chronic disease","HSC","per 100 people with the same characteristics","2018","2018",26.3,,
"ITC3","Liguria","0_ALEAST_2CRON","persons  at least two chronic disease","HSC","per 100 people with the same characteristics","2018","2018",24.7,,
"ITCD","Nord","0_CHRONIC_OSTEO","chronic patients - with osteoporosis","HSC","per 100 people with the same characteristics","2018","2018",7.2,,
"ITF3","Campania","0_CHRONIC_ARTH","chronic patients - suffering from osteoarthritis, arthritis","THV","thousands value","2018","2018",898,,
"ITF4","Puglia","0_ALEAST_1CRON","persons  at least a chronic disease","HSC","per 100 people with the same characteristics","2018","2018",40.4,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","0_CHRONIC_GH","persons  with chronic diseases in good health","HSC","per 100 people with the same characteristics","2018","2018",47,,
